market,stock_no,stock_name,date,strategy,reason,score,score_label,score_reasons,volume_ratio,ma20_slope_pct,ma60_slope_pct,close,volume,ma5,ma10,ma20,ma60,source,chart_path
TWSE,2317,鴻海,2026-06-08,群聯策略,周月季線上揚首次回測月線,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在季線上方、紅K收在當日相對高位,1.19,8.72,5.63,269.5,117863651,287.6,273.5,260.6,227.61666666666667,data/all_twse/2317_2025-06-02_2026-06-02.csv,
TWSE,2347,聯強,2026-06-08,群聯策略,周月季線上揚首次回測月線,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在季線上方、量能健康放大至20日均量2.4x,2.44,2.18,7.35,85.3,15735325,87.49999999999997,86.17999999999999,84.82500000000002,81.3566666666666,data/all_twse/2347_2025-06-02_2026-06-02.csv,
TWSE,2352,佳世達,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、收盤仍在月線上方、紅K收在當日相對高位、量能健康放大至20日均量1.2x,1.24,9.24,3.3,30.1,15954965,30.449999999999996,29.294999999999998,27.494999999999987,25.347499999999993,data/all_twse/2352_2025-06-02_2026-06-02.csv,
TWSE,2352,佳世達,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、收盤仍在月線上方、紅K收在當日相對高位、量能健康放大至20日均量1.2x,1.24,9.24,3.3,30.1,15954965,30.449999999999996,29.294999999999998,27.494999999999987,25.347499999999993,data/all_twse/2352_2025-06-02_2026-06-02.csv,
TWSE,2353,宏碁,2026-06-08,台積電策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,1.22,12.76,5.77,35.3,70827046,38.02999999999996,34.74999999999999,31.369999999999983,28.84249999999999,data/all_twse/2353_2025-06-02_2026-06-02.csv,
TWSE,2353,宏碁,2026-06-08,群聯策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,1.22,12.76,5.77,35.3,70827046,38.02999999999996,34.74999999999999,31.369999999999983,28.84249999999999,data/all_twse/2353_2025-06-02_2026-06-02.csv,
TWSE,2356,英業達,2026-06-08,台積電策略,主升段回測10MA,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,0.17,21.78,12.18,69.2,17530602,74.79999999999991,68.74000000000001,60.15750000000003,49.613333333333316,data/all_twse/2356_2025-06-02_2026-06-02.csv,
TWSE,2356,英業達,2026-06-08,群聯策略,主升段回測10MA,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,0.17,21.78,12.18,69.2,17530602,74.79999999999991,68.74000000000001,60.15750000000003,49.613333333333316,data/all_twse/2356_2025-06-02_2026-06-02.csv,
TWSE,2362,藍天,2026-06-08,台積電策略,主升段回測月線,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,0.88,6.92,3.09,44.85,2235669,46.99999999999996,44.19000000000001,41.730000000000004,39.592499999999994,data/all_twse/2362_2025-06-02_2026-06-02.csv,
TWSE,2362,藍天,2026-06-08,群聯策略,主升段回測月線,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在月線上方、紅K收在當日相對高位,0.88,6.92,3.09,44.85,2235669,46.99999999999996,44.19000000000001,41.730000000000004,39.592499999999994,data/all_twse/2362_2025-06-02_2026-06-02.csv,
